"Method","Timestamp","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"3D Auth","7/13/2021 17:15:49","4","6","1","2","4","5","5","3","5","2","4","6","4","4","7","6","3","3","3","5","2","3","3","2","2","6"
"3D Auth","7/13/2021 17:49:00","5","7","2","1","4","5","5","3","3","3","4","3","7","5","4","5","3","3","3","6","1","3","2","3","2","5"
"3D Auth","7/13/2021 21:54:49","3","5","1","1","3","5","6","7","4","2","3","2","6","4","6","5","4","2","5","5","3","5","5","4","2","7"
"3D Auth","7/13/2021 22:14:56","5","7","2","1","3","4","4","6","2","2","6","4","7","4","7","7","4","4","4","7","2","4","1","3","4","4"
"3D Auth","7/13/2021 23:03:29","5","5","2","2","3","4","5","5","3","2","4","3","5","5","6","5","4","2","3","5","3","5","3","3","3","7"
"3D Auth","7/13/2021 23:43:22","6","7","1","1","1","7","7","7","2","1","7","1","4","6","7","7","1","1","1","6","1","4","7","1","1","7"
"3D Auth","7/14/2021 0:32:49","7","7","1","1","5","6","6","7","2","2","3","3","6","4","6","5","5","3","3","3","2","6","3","2","4","4"
"3D Auth","7/15/2021 16:52:53","6","6","2","1","3","6","7","5","3","1","4","3","6","6","7","5","3","2","4","5","4","3","4","2","2","7"
"3D Auth","7/15/2021 17:37:12","5","5","2","1","3","5","5","3","5","2","3","4","5","4","6","5","4","3","6","5","3","4","3","2","2","6"
"3D Auth","7/15/2021 17:50:38","5","6","3","1","2","1","5","4","2","5","4","1","6","6","7","5","2","6","6","1","2","6","1","3","2","6"
"3D Auth","7/15/2021 22:16:04","6","7","2","1","2","5","5","5","2","3","5","1","6","6","5","6","2","2","3","6","2","5","2","1","1","6"
"3D Auth","7/15/2021 22:30:47","6","6","7","7","6","6","6","5","1","1","7","1","6","7","7","6","1","1","1","6","2","6","2","1","2","6"
"3D Auth","7/15/2021 22:57:17","5","5","1","4","2","6","7","3","5","1","4","1","4","5","7","4","4","1","1","7","3","6","3","2","1","7"
"3D Auth","7/16/2021 12:22:45","5","7","2","1","1","5","5","2","3","2","5","1","6","5","5","7","1","2","1","6","1","6","1","1","1","6"
"3D Auth","7/16/2021 13:22:05","6","6","1","3","1","7","7","3","2","1","5","1","6","7","7","7","2","1","1","6","2","5","3","1","1","7"
"3D Auth","7/16/2021 14:47:12","6","7","2","1","1","4","5","7","2","1","3","1","7","6","7","6","2","3","3","5","1","2","1","1","2","7"
"3D Auth","7/16/2021 16:10:00","6","5","1","2","1","7","7","6","2","1","5","2","6","6","7","6","1","1","4","5","3","6","2","2","2","7"
"3D Auth","7/26/2021 22:41:44","5","7","2","1","5","4","5","7","3","1","3","4","3","3","6","3","6","2","4","5","2","6","2","3","3","6"
"3D Auth","8/8/2021 21:45:44","5","7","1","1","2","6","5","4","2","1","5","2","7","5","7","5","1","1","4","5","1","5","2","3","3","6"
"3D Auth","8/8/2021 22:02:08","7","7","2","1","1","5","5","2","1","1","7","1","7","6","7","7","1","1","1","7","1","1","1","1","1","6"
